vehicleId;carrierId;vehicleTypeId;tourId;tourDuration[s];tourDuration[h];travelDistance[m];travelDistance[km];travelTime[s];travelTime[h];costPerSecond[EUR/s];costPerMeter[EUR/m];fixedCosts[EUR];varCostsTime[EUR];varCostsDist[EUR];totalCosts[EUR]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_1;edeka_SUPERMARKT_FRISCHE;heavy26t;1;23048.0;6.402222222222222;172535.60238677458;172.53560238677457;14304.0;3.973333333333333;0.0049;6.7E-4;82.6;112.9352;115.59885359913898;311.13405359913895
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_10;edeka_SUPERMARKT_FRISCHE;heavy26t;10;15375.0;4.270833333333333;118526.33659569947;118.52633659569946;6653.0;1.8480555555555556;0.0049;6.7E-4;82.6;75.33749999999999;79.41264551911864;237.35014551911866
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_11;edeka_SUPERMARKT_FRISCHE;heavy26t;11;15655.0;4.348611111111111;112138.33045998386;112.13833045998386;6914.0;1.9205555555555556;0.0049;6.7E-4;82.6;76.70949999999999;75.13268140818919;234.44218140818919
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_12;edeka_SUPERMARKT_FRISCHE;heavy26t;12;16186.0;4.496111111111111;105787.31675398715;105.78731675398716;7517.0;2.0880555555555556;0.0049;6.7E-4;82.6;79.31139999999999;70.8775022251714;232.7889022251714
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_13;edeka_SUPERMARKT_FRISCHE;heavy26t;13;19343.0;5.373055555555555;117582.33733111953;117.58233733111953;10615.0;2.948611111111111;0.0049;6.7E-4;82.6;94.7807;78.78016601185008;256.1608660118501
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_14;edeka_SUPERMARKT_FRISCHE;heavy26t;14;16559.0;4.599722222222222;113927.58377641662;113.92758377641663;7894.0;2.1927777777777777;0.0049;6.7E-4;82.6;81.1391;76.33148113019914;240.07058113019914
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_15;edeka_SUPERMARKT_FRISCHE;heavy26t;15;17200.0;4.777777777777778;100053.92650118188;100.05392650118188;8507.0;2.3630555555555555;0.0049;6.7E-4;82.6;84.28;67.03613075579186;233.91613075579187
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_16;edeka_SUPERMARKT_FRISCHE;heavy26t;16;14941.0;4.150277777777778;102502.07846498159;102.5020784649816;6281.0;1.7447222222222223;0.0049;6.7E-4;82.6;73.2109;68.67639257153766;224.48729257153767
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_17;edeka_SUPERMARKT_FRISCHE;heavy26t;17;15434.0;4.287222222222222;102961.37212524046;102.96137212524046;6746.0;1.873888888888889;0.0049;6.7E-4;82.6;75.6266;68.98411932391112;227.21071932391112
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_18;edeka_SUPERMARKT_FRISCHE;heavy26t;18;15478.0;4.299444444444444;94723.35395789638;94.72335395789638;6794.0;1.8872222222222221;0.0049;6.7E-4;82.6;75.84219999999999;63.46464715179058;221.90684715179057
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_19;edeka_SUPERMARKT_FRISCHE;heavy26t;19;15893.0;4.414722222222222;100105.37143364373;100.10537143364373;7159.0;1.988611111111111;0.0049;6.7E-4;82.6;77.8757;67.0705988605413;227.5462988605413
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_2;edeka_SUPERMARKT_FRISCHE;heavy26t;2;22394.0;6.220555555555555;171791.30508951496;171.79130508951496;13661.0;3.794722222222222;0.0049;6.7E-4;82.6;109.7306;115.10017440997503;307.430774409975
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_20;edeka_SUPERMARKT_FRISCHE;heavy26t;20;14531.0;4.036388888888889;90045.5941131923;90.04559411319231;5885.0;1.6347222222222222;0.0049;6.7E-4;82.6;71.2019;60.33054805583885;214.13244805583884
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_21;edeka_SUPERMARKT_FRISCHE;heavy26t;21;14278.0;3.966111111111111;89494.65012479437;89.49465012479436;5622.0;1.5616666666666668;0.0049;6.7E-4;82.6;69.9622;59.96141558361223;212.5236155836122
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_22;edeka_SUPERMARKT_FRISCHE;heavy26t;22;16906.0;4.696111111111111;80877.22260052933;80.87722260052934;8227.0;2.285277777777778;0.0049;6.7E-4;82.6;82.8394;54.18773914235466;219.62713914235462
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_23;edeka_SUPERMARKT_FRISCHE;heavy26t;23;13525.0;3.7569444444444446;80764.99682005685;80.76499682005685;6317.0;1.7547222222222223;0.0049;6.7E-4;82.6;66.2725;54.112547869438096;202.9850478694381
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_3;edeka_SUPERMARKT_FRISCHE;heavy26t;3;18319.0;5.088611111111111;137546.61595574758;137.54661595574757;9602.0;2.667222222222222;0.0049;6.7E-4;82.6;89.7631;92.15623269035088;264.51933269035084
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_4;edeka_SUPERMARKT_FRISCHE;heavy26t;4;19408.0;5.391111111111111;129324.46295094433;129.32446295094434;10701.0;2.9725;0.0049;6.7E-4;82.6;95.0992;86.6473901771327;264.3465901771327
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_5;edeka_SUPERMARKT_FRISCHE;heavy26t;5;17285.0;4.801388888888889;115361.30821117996;115.36130821117996;8610.0;2.3916666666666666;0.0049;6.7E-4;82.6;84.6965;77.29207650149057;244.58857650149054
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_6;edeka_SUPERMARKT_FRISCHE;heavy26t;6;17423.0;4.839722222222222;112536.39724199437;112.53639724199438;8720.0;2.422222222222222;0.0049;6.7E-4;82.6;85.3727;75.39938615213623;243.3720861521362
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_7;edeka_SUPERMARKT_FRISCHE;heavy26t;7;18496.0;5.137777777777778;123224.20284511495;123.22420284511496;9798.0;2.7216666666666667;0.0049;6.7E-4;82.6;90.6304;82.56021590622701;255.790615906227
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_8;edeka_SUPERMARKT_FRISCHE;heavy26t;8;15093.0;4.1925;117009.12778522861;117.00912778522861;6442.0;1.7894444444444444;0.0049;6.7E-4;82.6;73.9557;78.39611561610317;234.95181561610318
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_9;edeka_SUPERMARKT_FRISCHE;heavy26t;9;17002.0;4.722777777777778;105540.84194575183;105.54084194575184;8289.0;2.3025;0.0049;6.7E-4;82.6;83.3098;70.71236410365373;236.62216410365372
freight_edeka_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_95392_1;edeka_SUPERMARKT_TIEFKUEHL;heavy26t_frozen;1;36491.0;10.136388888888888;214203.25331592376;214.20325331592377;21435.0;5.954166666666667;0.0049;6.7E-4;82.6;178.8059;143.51617972166892;404.92207972166887
freight_edeka_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_95392_2;edeka_SUPERMARKT_TIEFKUEHL;heavy26t_frozen;2;33315.0;9.254166666666666;144601.51786547224;144.60151786547223;16204.0;4.501111111111111;0.0049;6.7E-4;82.6;163.24349999999998;96.8830169698664;342.7265169698664
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_1;edeka_SUPERMARKT_TROCKEN;heavy26t;1;35363.0;9.823055555555555;226819.93447349418;226.8199344734942;18782.0;5.217222222222222;0.0049;6.7E-4;82.6;173.2787;151.9693560972411;407.84805609724106
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_10;edeka_SUPERMARKT_TROCKEN;heavy26t;10;34057.0;9.460277777777778;199542.94280825826;199.54294280825826;11727.0;3.2575;0.0049;6.7E-4;82.6;166.8793;133.69377168153304;383.17307168153303
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_11;edeka_SUPERMARKT_TROCKEN;heavy26t;11;34098.0;9.471666666666666;188334.30311121707;188.33430311121708;11408.0;3.168888888888889;0.0049;6.7E-4;82.6;167.0802;126.18398308451545;375.86418308451545
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_12;edeka_SUPERMARKT_TROCKEN;heavy26t;12;22598.0;6.277222222222222;124759.7649711663;124.75976497116629;6748.0;1.8744444444444444;0.0049;6.7E-4;82.6;110.7302;83.58904253068143;276.9192425306814
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_13;edeka_SUPERMARKT_TROCKEN;heavy26t;13;32685.0;9.079166666666667;186966.48673243582;186.9664867324358;11430.0;3.175;0.0049;6.7E-4;82.6;160.1565;125.267546110732;368.024046110732
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_14;edeka_SUPERMARKT_TROCKEN;heavy26t;14;15979.0;4.438611111111111;82819.51325791058;82.81951325791059;7333.0;2.0369444444444444;0.0049;6.7E-4;82.6;78.2971;55.48907388280009;216.38617388280008
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_15;edeka_SUPERMARKT_TROCKEN;heavy26t;15;22238.0;6.177222222222222;135562.8001820217;135.56280018202168;9270.0;2.575;0.0049;6.7E-4;82.6;108.9662;90.82707612195453;282.3932761219545
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_16;edeka_SUPERMARKT_TROCKEN;heavy26t;16;13182.0;3.6616666666666666;71239.76244956133;71.23976244956133;4528.0;1.2577777777777779;0.0049;6.7E-4;82.6;64.59179999999999;47.73064084120609;194.92244084120608
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_17;edeka_SUPERMARKT_TROCKEN;heavy26t;17;13691.0;3.8030555555555554;73614.63707148243;73.61463707148243;5405.0;1.5013888888888889;0.0049;6.7E-4;82.6;67.0859;49.32180683789323;199.00770683789324
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_18;edeka_SUPERMARKT_TROCKEN;heavy26t;18;18656.0;5.182222222222222;112270.05650968464;112.27005650968464;6410.0;1.7805555555555554;0.0049;6.7E-4;82.6;91.4144;75.22093786148871;249.2353378614887
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_2;edeka_SUPERMARKT_TROCKEN;heavy26t;2;31856.0;8.848888888888888;216768.5400215069;216.7685400215069;14568.0;4.046666666666667;0.0049;6.7E-4;82.6;156.0944;145.23492181440963;383.9293218144096
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_3;edeka_SUPERMARKT_TROCKEN;heavy26t;3;32124.0;8.923333333333334;215048.36784594803;215.04836784594804;15191.0;4.219722222222222;0.0049;6.7E-4;82.6;157.4076;144.08240645678518;384.0900064567852
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_4;edeka_SUPERMARKT_TROCKEN;heavy26t;4;36197.0;10.054722222222223;245665.92681731566;245.66592681731566;13147.0;3.6519444444444447;0.0049;6.7E-4;82.6;177.3653;164.5961709676015;424.56147096760145
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_5;edeka_SUPERMARKT_TROCKEN;heavy26t;5;35479.0;9.855277777777777;231082.78007515462;231.08278007515463;12791.0;3.5530555555555554;0.0049;6.7E-4;82.6;173.84709999999998;154.8254626503536;411.27256265035356
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_6;edeka_SUPERMARKT_TROCKEN;heavy26t;6;36060.0;10.016666666666667;224065.57924199372;224.06557924199373;14448.0;4.013333333333334;0.0049;6.7E-4;82.6;176.694;150.1239380921358;409.4179380921358
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_7;edeka_SUPERMARKT_TROCKEN;heavy26t;7;32550.0;9.041666666666666;228978.68539313553;228.97868539313552;13460.0;3.738888888888889;0.0049;6.7E-4;82.6;159.495;153.41571921340082;395.5107192134008
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_8;edeka_SUPERMARKT_TROCKEN;heavy26t;8;27500.0;7.638888888888889;149154.41823359788;149.15441823359788;12374.0;3.437222222222222;0.0049;6.7E-4;82.6;134.75;99.93346021651058;317.28346021651055
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_9;edeka_SUPERMARKT_TROCKEN;heavy26t;9;35198.0;9.777222222222223;205832.275723971;205.83227572397098;13590.0;3.775;0.0049;6.7E-4;82.6;172.4702;137.90762473506058;392.9778247350606
freight_edeka_SUPERMARKT_TROCKEN_veh_medium18t_59933_19;edeka_SUPERMARKT_TROCKEN;medium18t;19;25291.0;7.025277777777778;148093.6598531117;148.0936598531117;9805.0;2.723611111111111;0.0049;6.5E-4;80.47;123.9259;96.2608789045226;300.6567789045226
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_1;lidl_DISCOUNTER_FRISCHE;heavy26t;1;17918.0;4.977222222222222;115550.96386580305;115.55096386580304;9238.0;2.5661111111111112;0.0049;6.7E-4;82.6;87.7982;77.41914579008804;247.817345790088
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_10;lidl_DISCOUNTER_FRISCHE;heavy26t;10;18107.0;5.029722222222222;71572.62620734987;71.57262620734987;9782.0;2.7172222222222224;0.0049;6.7E-4;82.6;88.7243;47.953659558924414;219.2779595589244
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_11;lidl_DISCOUNTER_FRISCHE;heavy26t;11;18633.0;5.175833333333333;78329.05642055183;78.32905642055184;10338.0;2.8716666666666666;0.0049;6.7E-4;82.6;91.3017;52.48046780176973;226.38216780176973
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_12;lidl_DISCOUNTER_FRISCHE;heavy26t;12;16432.0;4.564444444444445;59664.49331027661;59.664493310276605;8110.0;2.2527777777777778;0.0049;6.7E-4;82.6;80.5168;39.97521051788533;203.09201051788534
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_13;lidl_DISCOUNTER_FRISCHE;heavy26t;13;17651.0;4.9030555555555555;73428.23894184992;73.42823894184993;9714.0;2.6983333333333333;0.0049;6.7E-4;82.6;86.48989999999999;49.19692009103945;218.28682009103946
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_14;lidl_DISCOUNTER_FRISCHE;heavy26t;14;17004.0;4.723333333333334;80181.5767354565;80.1815767354565;8712.0;2.42;0.0049;6.7E-4;82.6;83.3196;53.721656412755856;219.64125641275587
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_15;lidl_DISCOUNTER_FRISCHE;heavy26t;15;18021.0;5.005833333333333;65960.79177688068;65.96079177688068;9334.0;2.5927777777777776;0.0049;6.7E-4;82.6;88.3029;44.193730490510056;215.09663049051005
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_16;lidl_DISCOUNTER_FRISCHE;heavy26t;16;17676.0;4.91;64460.73575146945;64.46073575146946;8998.0;2.4994444444444444;0.0049;6.7E-4;82.6;86.6124;43.188692953484534;212.40109295348452
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_17;lidl_DISCOUNTER_FRISCHE;heavy26t;17;14885.0;4.134722222222222;52929.93803989064;52.929938039890644;7309.0;2.0302777777777776;0.0049;6.7E-4;82.6;72.9365;35.46305848672673;190.99955848672673
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_18;lidl_DISCOUNTER_FRISCHE;heavy26t;18;14115.0;3.9208333333333334;49367.18228818935;49.367182288189355;6181.0;1.7169444444444444;0.0049;6.7E-4;82.6;69.1635;33.07601213308687;184.83951213308686
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_19;lidl_DISCOUNTER_FRISCHE;heavy26t;19;15344.0;4.262222222222222;58665.135683672124;58.665135683672126;7037.0;1.9547222222222222;0.0049;6.7E-4;82.6;75.1856;39.305640908060326;197.0912409080603
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_20;lidl_DISCOUNTER_FRISCHE;heavy26t;20;20887.0;5.801944444444445;89459.77024075793;89.45977024075793;9339.0;2.5941666666666667;0.0049;6.7E-4;82.6;102.3463;59.938046061307816;244.88434606130784
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_21;lidl_DISCOUNTER_FRISCHE;heavy26t;21;14429.0;4.008055555555556;49133.96618741354;49.13396618741354;6498.0;1.805;0.0049;6.7E-4;82.6;70.7021;32.91975734556707;186.22185734556706
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_22;lidl_DISCOUNTER_FRISCHE;heavy26t;22;13744.0;3.8177777777777777;42701.50123327139;42.70150123327139;5443.0;1.5119444444444445;0.0049;6.7E-4;82.6;67.3456;28.610005826291832;178.55560582629184
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_23;lidl_DISCOUNTER_FRISCHE;heavy26t;23;13983.0;3.8841666666666668;42514.084888953854;42.51408488895385;5309.0;1.4747222222222223;0.0049;6.7E-4;82.6;68.5167;28.484436875599084;179.60113687559905
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_24;lidl_DISCOUNTER_FRISCHE;heavy26t;24;14154.0;3.9316666666666666;44721.8815769794;44.7218815769794;5483.0;1.5230555555555556;0.0049;6.7E-4;82.6;69.35459999999999;29.9636606565762;181.91826065657617
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_25;lidl_DISCOUNTER_FRISCHE;heavy26t;25;14032.0;3.897777777777778;37049.564044022045;37.04956404402205;5364.0;1.49;0.0049;6.7E-4;82.6;68.7568;24.82320790949477;176.18000790949475
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_26;lidl_DISCOUNTER_FRISCHE;heavy26t;26;11697.0;3.2491666666666665;33268.20389105699;33.26820389105699;4124.0;1.1455555555555557;0.0049;6.7E-4;82.6;57.3153;22.289696607008185;162.20499660700818
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_27;lidl_DISCOUNTER_FRISCHE;heavy26t;27;14872.0;4.131111111111111;49501.89274364498;49.50189274364498;6553.0;1.8202777777777779;0.0049;6.7E-4;82.6;72.8728;33.16626813824214;188.63906813824215
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_28;lidl_DISCOUNTER_FRISCHE;heavy26t;28;13858.0;3.8494444444444444;36227.41581442997;36.227415814429975;5560.0;1.5444444444444445;0.0049;6.7E-4;82.6;67.9042;24.272368595668084;174.7765685956681
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_29;lidl_DISCOUNTER_FRISCHE;heavy26t;29;13868.0;3.852222222222222;36610.685248028734;36.61068524802874;5209.0;1.4469444444444444;0.0049;6.7E-4;82.6;67.9532;24.529159116179255;175.08235911617925
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_3;lidl_DISCOUNTER_FRISCHE;heavy26t;3;18395.0;5.1097222222222225;79292.05395522107;79.29205395522106;9730.0;2.702777777777778;0.0049;6.7E-4;82.6;90.1355;53.12567614999812;225.86117614999813
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_4;lidl_DISCOUNTER_FRISCHE;heavy26t;4;18923.0;5.256388888888889;79987.1046385113;79.9871046385113;10261.0;2.850277777777778;0.0049;6.7E-4;82.6;92.7227;53.59136010780257;228.91406010780258
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_5;lidl_DISCOUNTER_FRISCHE;heavy26t;5;19140.0;5.316666666666666;91362.54284193486;91.36254284193487;10456.0;2.9044444444444446;0.0049;6.7E-4;82.6;93.786;61.21290370409636;237.59890370409636
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_6;lidl_DISCOUNTER_FRISCHE;heavy26t;6;17541.0;4.8725;80989.56703867686;80.98956703867687;9225.0;2.5625;0.0049;6.7E-4;82.6;85.9509;54.2630099159135;222.8139099159135
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_7;lidl_DISCOUNTER_FRISCHE;heavy26t;7;17641.0;4.900277777777778;83494.78257522729;83.49478257522729;9328.0;2.591111111111111;0.0049;6.7E-4;82.6;86.4409;55.941504325402285;224.98240432540229
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_8;lidl_DISCOUNTER_FRISCHE;heavy26t;8;17756.0;4.932222222222222;69766.14379843633;69.76614379843633;9446.0;2.6238888888888887;0.0049;6.7E-4;82.6;87.0044;46.74331634495234;216.34771634495235
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_9;lidl_DISCOUNTER_FRISCHE;heavy26t;9;15430.0;4.286111111111111;62821.905576769605;62.8219055767696;7490.0;2.0805555555555557;0.0049;6.7E-4;82.6;75.607;42.09067673643564;200.29767673643562
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_35493_2;lidl_DISCOUNTER_FRISCHE;heavy26t;2;31682.0;8.800555555555556;172257.34235559966;172.25734235559966;16542.0;4.595;0.0049;6.7E-4;82.6;155.24179999999998;115.41241937825177;353.2542193782517
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_1;lidl_DISCOUNTER_TIEFKUEHL;heavy26t_frozen;1;36575.0;10.159722222222221;147495.41733033897;147.49541733033897;19497.0;5.4158333333333335;0.0049;6.7E-4;82.6;179.2175;98.8219296113271;360.6394296113271
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_2;lidl_DISCOUNTER_TIEFKUEHL;heavy26t_frozen;2;33604.0;9.334444444444445;111732.31237924824;111.73231237924824;14716.0;4.087777777777778;0.0049;6.7E-4;82.6;164.65959999999998;74.86064929409632;322.1202492940963
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_159381_3;lidl_DISCOUNTER_TIEFKUEHL;light8t_frozen;3;15547.0;4.318611111111111;64065.801179845585;64.06580117984558;8448.0;2.3466666666666667;0.0049;4.0E-4;63.49;76.1803;25.626320471938236;165.29662047193824
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_10;lidl_DISCOUNTER_TROCKEN;heavy26t;10;28081.0;7.800277777777778;101307.25407693212;101.30725407693213;12954.0;3.598333333333333;0.0049;6.7E-4;82.6;137.5969;67.87586023154452;288.0727602315445
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_11;lidl_DISCOUNTER_TROCKEN;heavy26t;11;35219.0;9.783055555555556;147780.0745251279;147.78007452512787;17202.0;4.778333333333333;0.0049;6.7E-4;82.6;172.57309999999998;99.01264993183568;354.18574993183563
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_13;lidl_DISCOUNTER_TROCKEN;heavy26t;13;36124.0;10.034444444444444;126095.62656660358;126.09562656660357;15598.0;4.332777777777777;0.0049;6.7E-4;82.6;177.0076;84.4840697996244;344.09166979962436
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_14;lidl_DISCOUNTER_TROCKEN;heavy26t;14;36255.0;10.070833333333333;106224.29275900025;106.22429275900025;12849.0;3.569166666666667;0.0049;6.7E-4;82.6;177.6495;71.17027614853016;331.41977614853016
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_16;lidl_DISCOUNTER_TROCKEN;heavy26t;16;33707.0;9.363055555555556;81263.12566106241;81.26312566106242;9938.0;2.7605555555555554;0.0049;6.7E-4;82.6;165.1643;54.446294192911814;302.2105941929118
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_3;lidl_DISCOUNTER_TROCKEN;heavy26t;3;29462.0;8.18388888888889;131674.07115364863;131.67407115364864;15415.0;4.281944444444444;0.0049;6.7E-4;82.6;144.3638;88.22162767294459;315.18542767294457
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_4;lidl_DISCOUNTER_TROCKEN;heavy26t;4;30824.0;8.562222222222223;127388.9690003634;127.3889690003634;17132.0;4.7588888888888885;0.0049;6.7E-4;82.6;151.0376;85.35060923024348;318.98820923024346
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_5;lidl_DISCOUNTER_TROCKEN;heavy26t;5;27791.0;7.719722222222222;118184.76702402579;118.18476702402579;13747.0;3.818611111111111;0.0049;6.7E-4;82.6;136.17589999999998;79.18379390609728;297.95969390609724
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_6;lidl_DISCOUNTER_TROCKEN;heavy26t;6;30202.0;8.389444444444445;121325.31479267355;121.32531479267355;16153.0;4.486944444444444;0.0049;6.7E-4;82.6;147.9898;81.28796091109129;311.8777609110913
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_7;lidl_DISCOUNTER_TROCKEN;heavy26t;7;28139.0;7.816388888888889;117941.1166832968;117.9411166832968;14093.0;3.914722222222222;0.0049;6.7E-4;82.6;137.8811;79.02054817780886;299.5016481778089
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_8;lidl_DISCOUNTER_TROCKEN;heavy26t;8;29304.0;8.14;114560.67843073691;114.56067843073691;14900.0;4.138888888888889;0.0049;6.7E-4;82.6;143.5896;76.75565454859372;302.9452545485937
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_1;lidl_DISCOUNTER_TROCKEN;medium18t;1;35300.0;9.805555555555555;243720.61504223014;243.72061504223015;21251.0;5.9030555555555555;0.0049;6.5E-4;80.47;172.97;158.4183997774496;411.85839977744956
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_12;lidl_DISCOUNTER_TROCKEN;medium18t;12;31926.0;8.868333333333334;136447.57843121415;136.44757843121414;15720.0;4.366666666666666;0.0049;6.5E-4;80.47;156.4374;88.6909259802892;325.5983259802892
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_15;lidl_DISCOUNTER_TROCKEN;medium18t;15;35848.0;9.957777777777778;135062.16932469298;135.06216932469297;16400.0;4.555555555555555;0.0049;6.5E-4;80.47;175.6552;87.79041006105044;343.9156100610504
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_17;lidl_DISCOUNTER_TROCKEN;medium18t;17;35451.0;9.8475;112357.27983078672;112.35727983078672;15643.0;4.345277777777778;0.0049;6.5E-4;80.47;173.7099;73.03223189001136;327.2121318900114
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_18;lidl_DISCOUNTER_TROCKEN;medium18t;18;16603.0;4.611944444444444;47760.357433604964;47.760357433604966;6156.0;1.71;0.0049;6.5E-4;80.47;81.3547;31.044232331843226;192.86893233184324
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_9;lidl_DISCOUNTER_TROCKEN;medium18t;9;34327.0;9.535277777777777;159723.87115495343;159.72387115495343;18841.0;5.233611111111111;0.0049;6.5E-4;80.47;168.2023;103.82051625071973;352.4928162507197
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_35493_2;lidl_DISCOUNTER_TROCKEN;medium18t;2;8776.0;2.437777777777778;82240.96394364076;82.24096394364076;3374.0;0.9372222222222222;0.0049;6.5E-4;80.47;43.0024;53.45662656336649;176.92902656336648
