vehicleId ; vehicleTypeId ; capacity ; maxLoad ; usedCapacity[%]; load state during tour
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_35493_2;heavy26t;24.0;24;100;[5, 11, 15, 19, 24, 19, 14, 8, 4, 8, 14, 18, 22, 18, 12, 8, 4, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_35493_2;medium18t;16.0;15;93;[15, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_1;heavy26t;24.0;24;100;[5, 10, 14, 19, 24, 19, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_10;heavy26t;24.0;23;95;[4, 8, 13, 18, 23, 18, 14, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_11;heavy26t;24.0;23;95;[5, 9, 14, 18, 23, 18, 14, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_12;heavy26t;24.0;23;95;[5, 9, 13, 18, 23, 19, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_13;heavy26t;24.0;22;91;[4, 8, 12, 17, 22, 17, 13, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_14;heavy26t;24.0;23;95;[4, 8, 14, 18, 23, 17, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_15;heavy26t;24.0;24;100;[4, 9, 13, 17, 21, 24, 21, 17, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_16;heavy26t;24.0;24;100;[3, 7, 11, 15, 19, 24, 20, 16, 12, 8, 3, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_17;heavy26t;24.0;21;87;[4, 8, 12, 16, 21, 17, 13, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_18;heavy26t;24.0;22;91;[4, 9, 14, 18, 22, 17, 12, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_19;heavy26t;24.0;23;95;[5, 10, 15, 19, 23, 19, 14, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_20;heavy26t;24.0;23;95;[4, 9, 14, 19, 23, 18, 14, 18, 23, 18, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_21;heavy26t;24.0;22;91;[4, 9, 14, 18, 22, 18, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_22;heavy26t;24.0;23;95;[4, 9, 14, 19, 23, 18, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_23;heavy26t;24.0;24;100;[4, 9, 14, 19, 24, 19, 14, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_24;heavy26t;24.0;24;100;[5, 10, 15, 19, 24, 19, 14, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_25;heavy26t;24.0;24;100;[4, 10, 15, 19, 24, 20, 15, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_26;heavy26t;24.0;21;87;[4, 8, 12, 16, 21, 17, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_27;heavy26t;24.0;23;95;[4, 9, 13, 18, 23, 18, 14, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_28;heavy26t;24.0;23;95;[5, 9, 14, 19, 23, 18, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_29;heavy26t;24.0;24;100;[5, 10, 15, 20, 24, 19, 15, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_3;heavy26t;24.0;24;100;[4, 8, 14, 19, 24, 19, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_4;heavy26t;24.0;24;100;[4, 8, 14, 19, 24, 19, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_5;heavy26t;24.0;24;100;[4, 8, 13, 17, 21, 24, 20, 16, 12, 8, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_6;heavy26t;24.0;23;95;[4, 8, 13, 18, 23, 19, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_7;heavy26t;24.0;23;95;[4, 9, 13, 18, 23, 19, 15, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_8;heavy26t;24.0;23;95;[4, 8, 13, 18, 23, 18, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_9;heavy26t;24.0;22;91;[5, 9, 13, 17, 22, 17, 13, 9, 5, 0]
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_1;heavy26t_frozen;160.0;142;88;[5, 14, 21, 28, 35, 44, 50, 56, 65, 74, 80, 90, 100, 106, 112, 122, 127, 132, 142, 137, 132, 126, 117, 107, 97, 92, 85, 78, 72, 63, 56, 50, 40, 31, 21, 15, 9, 0]
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_2;heavy26t_frozen;160.0;157;98;[10, 20, 25, 33, 43, 49, 55, 60, 66, 75, 80, 89, 95, 104, 112, 117, 127, 133, 138, 147, 157, 147, 137, 127, 122, 112, 103, 98, 93, 85, 76, 70, 64, 58, 49, 44, 39, 33, 24, 14, 8, 0]
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_159381_3;light8t_frozen;70.0;59;84;[6, 13, 19, 25, 32, 39, 45, 51, 59, 53, 47, 40, 33, 25, 19, 13, 7, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_10;heavy26t;24.0;23;95;[19, 0, 23, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_11;heavy26t;24.0;24;100;[12, 24, 12, 0, 13, 0, 13, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_13;heavy26t;24.0;21;87;[19, 0, 17, 0, 21, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_14;heavy26t;24.0;23;95;[21, 0, 21, 0, 23, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_16;heavy26t;24.0;24;100;[23, 0, 19, 0, 24, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_3;heavy26t;24.0;22;91;[17, 0, 22, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_4;heavy26t;24.0;24;100;[12, 24, 12, 0, 14, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_5;heavy26t;24.0;22;91;[17, 0, 22, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_6;heavy26t;24.0;24;100;[12, 24, 12, 0, 15, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_7;heavy26t;24.0;24;100;[12, 24, 12, 0, 15, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_8;heavy26t;24.0;23;95;[23, 0, 17, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_1;medium18t;16.0;13;81;[13, 0, 13, 0, 13, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_12;medium18t;16.0;16;100;[14, 0, 15, 0, 16, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_15;medium18t;16.0;15;93;[13, 0, 15, 0, 14, 0, 12, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_17;medium18t;16.0;15;93;[15, 0, 13, 0, 13, 0, 14, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_18;medium18t;16.0;16;100;[16, 0, 13, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_9;medium18t;16.0;16;100;[16, 0, 14, 0, 13, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_1;heavy26t;24.0;24;100;[18, 24, 6, 0, 3, 15, 22, 19, 7, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_10;heavy26t;24.0;21;87;[20, 0, 18, 21, 3, 0, 10, 21, 10, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_11;heavy26t;24.0;24;100;[19, 0, 20, 0, 9, 24, 9, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_12;heavy26t;24.0;23;95;[21, 0, 8, 23, 15, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_13;heavy26t;24.0;24;100;[5, 9, 24, 20, 5, 22, 5, 23, 5, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_14;heavy26t;24.0;24;100;[13, 24, 13, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_15;heavy26t;24.0;22;91;[7, 22, 7, 21, 7, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_16;heavy26t;24.0;24;100;[4, 20, 24, 20, 16, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_17;heavy26t;24.0;23;95;[7, 23, 16, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_18;heavy26t;24.0;22;91;[9, 22, 9, 21, 9, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_2;heavy26t;24.0;24;100;[6, 24, 6, 0, 4, 24, 20, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_3;heavy26t;24.0;24;100;[10, 17, 24, 17, 10, 0, 3, 23, 20, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_4;heavy26t;24.0;24;100;[21, 0, 19, 0, 12, 24, 12, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_5;heavy26t;24.0;22;91;[21, 0, 20, 0, 7, 22, 15, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_6;heavy26t;24.0;22;91;[18, 0, 20, 0, 8, 16, 22, 14, 8, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_7;heavy26t;24.0;24;100;[8, 23, 8, 17, 23, 15, 9, 24, 9, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_8;heavy26t;24.0;23;95;[19, 0, 12, 23, 12, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_9;heavy26t;24.0;22;91;[18, 0, 20, 0, 12, 22, 10, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_medium18t_59933_19;medium18t;16.0;16;100;[15, 0, 12, 0, 16, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_1;heavy26t;24.0;24;100;[1, 2, 3, 14, 20, 22, 24, 18, 16, 5, 4, 3, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_10;heavy26t;24.0;24;100;[1, 4, 6, 15, 17, 19, 24, 21, 19, 17, 15, 6, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_11;heavy26t;24.0;24;100;[2, 7, 9, 11, 14, 20, 22, 24, 18, 16, 11, 9, 7, 4, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_12;heavy26t;24.0;24;100;[2, 5, 14, 24, 22, 13, 3, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_13;heavy26t;24.0;24;100;[1, 4, 6, 7, 16, 19, 21, 23, 24, 21, 19, 18, 16, 13, 4, 3, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_14;heavy26t;24.0;24;100;[4, 13, 23, 24, 23, 19, 10, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_15;heavy26t;24.0;24;100;[1, 3, 15, 22, 24, 17, 16, 14, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_16;heavy26t;24.0;24;100;[3, 14, 15, 24, 23, 12, 3, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_17;heavy26t;24.0;24;100;[1, 7, 15, 22, 24, 17, 9, 8, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_18;heavy26t;24.0;24;100;[9, 18, 20, 23, 24, 23, 21, 12, 3, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_19;heavy26t;24.0;24;100;[2, 14, 15, 20, 22, 24, 19, 17, 15, 3, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_2;heavy26t;24.0;24;100;[1, 2, 3, 4, 6, 9, 20, 22, 24, 21, 20, 18, 17, 16, 5, 3, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_20;heavy26t;24.0;24;100;[7, 14, 24, 14, 7, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_21;heavy26t;24.0;24;100;[12, 21, 23, 24, 22, 10, 9, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_22;heavy26t;24.0;24;100;[11, 18, 21, 23, 24, 23, 20, 13, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_23;heavy26t;24.0;20;83;[6, 8, 10, 20, 18, 8, 6, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_3;heavy26t;24.0;24;100;[1, 4, 16, 19, 21, 23, 24, 23, 20, 19, 7, 4, 2, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_4;heavy26t;24.0;24;100;[1, 7, 9, 21, 22, 24, 18, 17, 15, 13, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_5;heavy26t;24.0;24;100;[12, 19, 21, 23, 24, 17, 15, 3, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_6;heavy26t;24.0;24;100;[1, 4, 15, 17, 19, 24, 19, 8, 6, 4, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_7;heavy26t;24.0;24;100;[2, 14, 16, 17, 23, 24, 22, 16, 14, 13, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_8;heavy26t;24.0;24;100;[12, 21, 22, 24, 15, 3, 1, 0]
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_9;heavy26t;24.0;24;100;[9, 12, 13, 15, 16, 18, 24, 18, 17, 14, 12, 3, 1, 0]
freight_edeka_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_95392_1;heavy26t_frozen;160.0;125;78;[16, 25, 32, 33, 52, 54, 56, 58, 66, 75, 77, 79, 90, 91, 93, 96, 98, 100, 103, 104, 105, 106, 107, 118, 120, 121, 122, 125, 118, 116, 115, 106, 95, 93, 91, 89, 88, 87, 86, 83, 82, 81, 80, 78, 62, 51, 32, 30, 27, 25, 17, 8, 6, 4, 1, 0]
freight_edeka_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_95392_2;heavy26t_frozen;160.0;142;88;[2, 18, 28, 30, 38, 42, 54, 55, 68, 71, 73, 74, 89, 91, 108, 118, 127, 138, 139, 142, 140, 124, 116, 103, 99, 97, 86, 74, 59, 42, 32, 31, 28, 27, 26, 23, 21, 12, 2, 0]
